Pixel Shift X (Columns),Pixel Shift Y (Rows),Confidence (%),Dist. X (mm),Dist. Y (mm),Hexapod X (mm),Hexapod Y (mm),Error X (mm),Error Y (mm)
0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,97.9116,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.9321,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.9278,0.0,0.0,0.0,0.0,0.0,0.0
0,0,97.5458,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.9519,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.3998,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.8927,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.9373,0.0,0.0,0.0,0.0,0.0,0.0
0,0,96.2323,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.4602,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.8687,0.0,0.0,0.0,0.0,0.0,0.0
0,0,96.9203,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.8804,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.8844,0.0,0.0,0.0,0.0,0.0,0.0
0,0,97.7727,0.0,0.0,0.0,0.0,0.0,0.0
0,0,99.1223,0.0,0.0,0.0,0.0,0.0,0.0
0,0,98.6567,0.0,0.0,0.0,0.0,0.0,0.0
0,0,97.245,0.0,0.0,0.0,0.0,0.0,0.0
0,1,98.4695,3.73736e-05,0.00383827,0.0,0.0,3.73736e-05,0.00383827
0,0,99.6885,0.0,0.0,0.0,0.0,0.0,0.0
0,-1,97.3533,-3.73736e-05,-0.00383827,0.0,0.0,-3.73736e-05,-0.00383827
0,0,95.0508,0.0,0.0,0.0,0.0,0.0,0.0
-1,1,97.8492,0.0039317,0.00378595,0.012,0.012,-0.0080683,-0.00821405
-3,3,98.3517,0.0117951,0.0113578,0.024,0.024,-0.012204900000000001,-0.012642200000000001
-5,5,96.0527,0.0196585,0.0189297,0.036,0.036,-0.0163415,-0.017070299999999997
-8,8,95.1626,0.0314536,0.0302876,0.048,0.048,-0.016546400000000003,-0.0177124
-12,13,96.5591,0.0472178,0.0492696,0.06,0.06,-0.0127822,-0.010730400000000001
-15,15,97.2768,0.0589756,0.0567892,0.072,0.072,-0.013024399999999992,-0.015210799999999997
-19,20,96.1338,0.0747397,0.0757713,0.084,0.084,-0.009260299999999999,-0.008228700000000005
-22,23,96.5369,0.0865348,0.0871291,0.096,0.096,-0.009465200000000007,-0.008870900000000001
-26,27,96.1719,0.102262,0.102273,0.108,0.108,-0.005737999999999993,-0.005726999999999996
-29,30,93.8713,0.114057,0.113631,0.12,0.12,-0.00594299999999999,-0.006369
-33,34,98.042,0.129784,0.128775,0.132,0.132,-0.0022159999999999958,-0.0032250000000000056
-37,38,95.6285,0.14551,0.143918,0.144,0.144,0.0015100000000000113,-8.199999999999874e-05
-40,42,97.1008,0.157343,0.159114,0.156,0.156,0.0013430000000000109,0.0031140000000000057
-44,45,93.6976,0.173032,0.17042,0.168,0.168,0.005031999999999981,0.0024199999999999777
-48,50,95.3397,0.188797,0.189402,0.18,0.18,0.008797,0.009401999999999994
-51,53,94.5843,0.200592,0.20076,0.192,0.192,0.008591999999999989,0.00875999999999999
-55,57,95.7488,0.216318,0.215904,0.204,0.204,0.012318000000000023,0.011904000000000026
-59,61,94.8103,0.232045,0.231047,0.216,0.216,0.016045000000000004,0.015047000000000005
-63,65,93.0222,0.247772,0.246191,0.228,0.228,0.019771999999999984,0.018190999999999985
-66,68,92.473,0.259567,0.257549,0.24,0.24,0.019567,0.01754899999999998
-70,72,94.4203,0.275294,0.272693,0.252,0.252,0.02329399999999998,0.020693000000000017
-72,75,95.2972,0.283195,0.284103,0.264,0.264,0.019194999999999962,0.020102999999999982
-74,77,95.4449,0.291058,0.291675,0.276,0.276,0.01505799999999996,0.015674999999999994
-75,78,93.1054,0.29499,0.295461,0.288,0.288,0.006989999999999996,0.007460999999999995
-76,79,94.946,0.298922,0.299247,0.3,0.3,-0.0010779999999999679,-0.0007530000000000037
-77,79,92.9343,0.302816,0.299194,0.3,0.3,0.002815999999999985,-0.0008059999999999734
-77,79,92.7693,0.302816,0.299194,0.3,0.3,0.002815999999999985,-0.0008059999999999734
-76,79,92.853,0.298922,0.299247,0.3,0.3,-0.0010779999999999679,-0.0007530000000000037
-77,79,92.7697,0.302816,0.299194,0.3,0.3,0.002815999999999985,-0.0008059999999999734
-77,79,92.136,0.302816,0.299194,0.3,0.3,0.002815999999999985,-0.0008059999999999734
-76,79,93.3568,0.298922,0.299247,0.3,0.3,-0.0010779999999999679,-0.0007530000000000037
-77,79,92.8469,0.302816,0.299194,0.3,0.3,0.002815999999999985,-0.0008059999999999734
-77,79,92.0183,0.302816,0.299194,0.3,0.3,0.002815999999999985,-0.0008059999999999734
-77,79,92.2515,0.302816,0.299194,0.3,0.3,0.002815999999999985,-0.0008059999999999734
-76,79,92.2266,0.298922,0.299247,0.3,0.3,-0.0010779999999999679,-0.0007530000000000037
-77,79,92.7685,0.302816,0.299194,0.3,0.3,0.002815999999999985,-0.0008059999999999734
-77,79,92.109,0.302816,0.299194,0.3,0.3,0.002815999999999985,-0.0008059999999999734
-76,79,92.8091,0.298922,0.299247,0.3,0.3,-0.0010779999999999679,-0.0007530000000000037
-77,79,93.8467,0.302816,0.299194,0.3,0.3,0.002815999999999985,-0.0008059999999999734
-76,79,92.5772,0.298922,0.299247,0.3,0.3,-0.0010779999999999679,-0.0007530000000000037
-77,79,93.6528,0.302816,0.299194,0.3,0.3,0.002815999999999985,-0.0008059999999999734
-77,79,92.2361,0.302816,0.299194,0.3,0.3,0.002815999999999985,-0.0008059999999999734
-76,79,93.4515,0.298922,0.299247,0.3,0.3,-0.0010779999999999679,-0.0007530000000000037
-77,79,93.7897,0.302816,0.299194,0.3,0.3,0.002815999999999985,-0.0008059999999999734
-76,79,92.4807,0.298922,0.299247,0.3,0.3,-0.0010779999999999679,-0.0007530000000000037
-77,79,92.0992,0.302816,0.299194,0.3,0.3,0.002815999999999985,-0.0008059999999999734
-77,79,93.5961,0.302816,0.299194,0.3,0.3,0.002815999999999985,-0.0008059999999999734
-76,79,92.2635,0.298922,0.299247,0.3,0.3,-0.0010779999999999679,-0.0007530000000000037
-77,79,92.8145,0.302816,0.299194,0.3,0.3,0.002815999999999985,-0.0008059999999999734
